=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
312286 29.71 101287.32 29.93 43567.05 9
313036 29.68 101286.17 29.91 2066599.38 1
314536 29.29 101285.11 29.81 1945843.25 2
314536 29.29 101285.11 29.81 1945843.25 2
314536 29.29 101285.11 29.81 1945843.25 2
314536 29.29 101285.11 29.81 1945843.25 2
318785 29.17 101277.41 29.86 1778549.75 3
319534 29.35 101272.89 29.88 237476.81 4
320034 29.46 101270.52 29.91 234217.75 5
320784 29.50 101270.54 29.90 228113.17 6
322284 29.67 101267.15 29.89 42272.13 8
322784 29.71 101264.40 29.87 43611.59 9
323783 29.68 101263.92 29.83 2101590.50 1
325283 29.29 101260.23 29.74 1966866.75 2
325283 29.29 101260.23 29.74 1966866.75 2
325283 29.29 101260.23 29.74 1966866.75 2
325283 29.29 101260.23 29.74 1966866.75 2
329532 29.18 101251.67 29.80 1800835.38 3
330032 29.36 101251.17 29.83 238973.16 4
330781 29.47 101250.85 29.86 234057.14 5
332281 29.59 101247.41 29.85 40816.33 7
333031 29.67 101249.33 29.84 42482.57 8
334281 29.74 101263.80 29.81 44521.74 0
334531 29.68 101263.51 29.77 2091930.50 1
336030 29.30 101249.24 29.69 1978266.13 2
336030 29.30 101249.24 29.69 1978266.13 2
336030 29.30 101249.24 29.69 1978266.13 2
340029 29.18 101229.83 29.73 1812790.50 3
340779 29.36 101227.52 29.75 240997.88 4
341528 29.47 101226.55 29.79 234539.63 5
342278 29.52 101224.45 29.79 230112.36 6
343528 29.68 101220.22 29.80 42567.34 8
344278 29.73 101220.51 29.75 43656.21 9
345277 29.69 101220.38 29.71 2099974.25 1
346777 29.31 101215.27 29.62 1988349.50 2
346777 29.31 101215.27 29.62 1988349.50 2
346777 29.31 101215.27 29.62 1988349.50 2
346777 29.31 101215.27 29.62 1988349.50 2
350776 29.18 101207.07 29.69 1827347.75 3
351526 29.36 101203.53 29.70 241168.16 4
352276 29.48 101203.20 29.72 234862.39 5
353026 29.52 101201.40 29.70 231360.14 6
354275 29.69 101200.18 29.72 42652.45 8
355025 29.73 101196.18 29.70 43611.59 9
356025 29.70 101195.06 29.65 2091930.50 1
357525 29.31 101187.85 29.55 1954198.50 2
357525 29.31 101187.85 29.55 1954198.50 2
357525 29.31 101187.85 29.55 1954198.50 2
361523 29.18 101177.73 29.61 1804405.25 3
362273 29.37 101175.02 29.62 242194.89 4
363023 29.48 101176.73 29.67 235673.19 5
363773 29.52 101174.72 29.65 231674.20 6
