=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:42:47 =~=~=~=~=~=~=~=~=~=~=~=
2900800 29.20 100692.81 19.16 7000213.50 5
2901549 29.25 100696.08 19.17 6907251.50 6
2902049 29.33 100696.55 19.22 659368.94 7
2902799 29.41 100697.84 19.19 672357.19 8
2903549 29.46 100696.06 19.17 687248.31 9
2904299 29.48 100697.73 19.12 699214.75 0
2904548 29.41 100699.95 19.11 102400000.00 1
2906048 28.98 100699.19 19.03 102400000.00 2
2910046 28.87 100711.19 19.00 102400000.00 3
2910796 29.11 100715.59 19.03 7160839.00 4
2911546 29.23 100717.27 19.05 6995730.00 5
2912296 29.29 100719.85 19.04 6894172.00 6
2912795 29.37 100719.30 19.02 655569.81 7
2913545 29.46 100721.06 18.95 669718.75 8
2914295 29.50 100721.66 18.99 685179.00 9
2915045 29.53 100723.00 19.05 689330.19 0
2915295 29.45 100723.74 19.00 102400000.00 1
2916794 29.02 100723.92 18.91 102400000.00 2
2920792 28.91 100732.86 18.90 102400000.00 3
2921542 29.14 100734.83 18.93 7068162.00 4
2922292 29.27 100737.90 18.90 7009198.00 5
2923042 29.32 100738.50 18.94 6829512.50 6
2923541 29.40 100740.14 18.93 648101.25 7
2924291 29.49 100740.95 18.95 669718.75 8
2925041 29.53 100741.40 18.89 685179.00 9
2925790 29.56 100744.41 18.89 688634.81 0
2926040 29.49 100745.25 18.87 102400000.00 1
2927540 29.05 100745.81 18.79 102400000.00 2
2931538 28.94 100752.23 18.76 102400000.00 3
2932288 29.17 100757.05 18.80 7170240.50 4
2933037 29.30 100756.64 18.81 6977853.50 5
2933787 29.36 100758.66 18.80 6850930.50 6
2934287 29.43 100757.10 18.81 646873.00 7
2935037 29.52 100757.59 18.78 665151.00 8
2935786 29.57 100761.45 18.82 679721.19 9
2936536 29.60 100763.32 18.73 684492.00 0
2936786 29.52 100762.52 18.74 102400000.00 1
2938285 29.09 100763.55 18.69 102400000.00 2
2942284 28.98 100771.02 18.66 102400000.00 3
2943033 29.21 100773.38 18.66 7045366.50 4
2943783 29.34 100775.67 18.69 6889823.50 5
2944533 29.39 100776.69 18.68 6816725.50 6
2945033 29.47 100777.20 18.76 644430.44 7
2945782 29.56 100778.36 18.70 660645.19 8
2946532 29.61 100777.63 18.72 673020.06 9
2947282 29.63 100778.24 18.67 683806.38 0
2947532 29.55 100777.30 18.65 102400000.00 1
2949031 29.13 100780.47 18.58 102400000.00 2
2953029 29.02 100784.53 18.54 102400000.00 3
2953779 29.25 100790.55 18.58 7059026.50 4
2954529 29.38 100790.45 18.60 6942373.00 5
2955279 29.42 100789.28 18.57 6787075.50 6
2955779 29.51 100789.11 18.65 640200.06 7
2956528 29.59 100789.77 18.61 654940.81 8
2957278 29.65 100790.84 18.52 668407.31 9
2958028 29.67 100790.65 18.52 677696.88 0
2958278 29.59 100789.73 18.56 102400000.00 1
2959777 29.16 100792.12 18.47 102400000.00 2
2963775 29.04 100794.10 18.44 102400000.00 3
2964525 29.28 100800.85 18.49 7000213.50 4
2965275 29.41 100800.55 18.49 6885480.00 5
2966024 29.45 100802.15 18.48 6749330.50 6
2966524 29.55 100801.98 18.47 634841.94 7
2967274 29.64 100801.90 18.47 651192.38 8
2968024 29.68 100802.05 18.49 671695.63 9
2968773 29.70 100802.41 18.45 676354.00 0
2969023 29.63 100802.91 18.42 102400000.00 1
2970523 29.20 100803.58 18.35 102400000.00 2
2974521 29.09 100806.45 18.35 102400000.00 3
2975271 29.32 100811.99 18.38 6991252.50 4
2976021 29.44 100811.45 18.38 6937963.00 5
2976770 29.49 100811.65 18.36 6749330.50 6
2977270 29.59 100810.98 18.36 632489.19 7
2978020 29.67 100810.67 18.36 656199.94 8
2978770 29.72 100812.51 18.32 667101.00 9
2979520 29.74 100811.49 18.42 675016.50 0
2979770 29.67 100813.28 18.32 102400000.00 1
2981269 29.24 100814.15 18.25 102400000.00 2
2985267 29.12 100816.08 18.25 102400000.00 3
2986017 29.35 100819.98 18.25 7004703.00 4
2986767 29.48 100821.05 18.29 6902886.00 5
2987516 29.53 100821.41 18.27 6736842.00 6
2988016 29.62 100819.52 18.28 630153.88 7
2988766 29.71 100819.17 18.34 651192.38 8
2989516 29.75 100821.28 18.23 669718.75 9
2990265 29.78 100821.26 18.24 676354.00 0
2990515 29.70 100821.44 18.22 102400000.00 1
2992015 29.27 100821.42 18.13 102400000.00 2
