=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
719604 29.20 101212.83 12.93 57104.62 9
720604 29.16 101211.63 12.91 2276820.50 1
722103 28.78 101208.13 12.86 2237640.00 2
722103 28.78 101208.13 12.86 2237640.00 2
722103 28.78 101208.13 12.86 2237640.00 2
722103 28.78 101208.13 12.86 2237640.00 2
726101 28.66 101196.78 12.79 2180463.25 3
726851 28.85 101195.59 12.77 307138.56 4
727601 28.96 101193.47 12.77 306037.06 5
728351 29.00 101189.06 12.78 304671.22 6
729600 29.16 101183.20 12.77 56128.04 8
730350 29.20 101185.54 12.77 56462.29 9
731349 29.17 101181.01 12.70 2208681.50 1
732849 28.79 101178.45 12.66 2170066.25 2
732849 28.79 101178.45 12.66 2170066.25 2
732849 28.79 101178.45 12.66 2170066.25 2
732849 28.79 101178.45 12.66 2170066.25 2
736847 28.67 101165.94 12.62 2109709.00 3
737597 28.85 101162.01 12.56 299590.41 4
738347 28.96 101161.83 12.60 300117.22 5
739596 29.07 101156.88 12.58 55006.45 7
740346 29.15 101153.88 12.55 55220.02 8
741845 29.23 101148.05 12.55 55652.18 0
742095 29.17 101146.98 12.55 2151260.50 1
743345 28.79 101141.09 12.48 2106454.00 2
743345 28.79 101141.09 12.48 2106454.00 2
743345 28.79 101141.09 12.48 2106454.00 2
747593 28.67 101127.60 12.43 2046465.13 3
748342 28.85 101128.37 12.41 294422.09 4
749092 28.96 101125.05 12.42 294930.88 5
749842 29.01 101124.42 12.43 292404.34 6
750342 29.07 101120.96 12.41 54375.53 7
751841 29.20 101114.63 12.40 54619.16 9
752841 29.17 101112.70 12.38 2093534.38 1
754090 28.79 101108.00 12.29 2057257.63 2
754090 28.79 101108.00 12.29 2057257.63 2
754090 28.79 101108.00 12.29 2057257.63 2
754090 28.79 101108.00 12.29 2057257.63 2
758338 28.67 101090.51 12.26 2001465.88 3
759088 28.85 101090.55 12.26 290167.19 4
759838 28.97 101087.86 12.25 289920.72 5
760338 29.01 101085.36 12.26 288207.16 6
761837 29.16 101080.49 12.23 53860.72 8
762587 29.21 101079.34 12.23 54202.84 9
763586 29.18 101075.34 12.20 2038825.25 1
764836 28.80 101067.11 12.13 1984015.50 2
764836 28.80 101067.11 12.13 1984015.50 2
764836 28.80 101067.11 12.13 1984015.50 2
764836 28.80 101067.11 12.13 1984015.50 2
769084 28.68 101055.85 12.06 1938934.88 3
